posts,science
"Primates with showy traits, big teeth or bright red chest markings, tend to have smaller testicles, according to a new study.",1
"Study shows potential for Earth-friendly plastic replacement. Research team reports success with a rubber-toughened product derived from microbial fermentation that they say could perform like conventional plastic. 75% tougher, 100% more flexible than bioplastic alone.",1
Scientists use whole-genome CRISPR-Cas9 knockout screens to identify novel drug targets in 30 different cancer types,1
99 y/o woman found to have flipped organs after donating body to science,1
Autism symptoms reduced nearly 50% two years after fecal transplant,1
High-Dose Vitamin D May Be Beneficial for Colon Cancer Patients,1
Researchers may have identified a non-antibiotic strategy for treating bacterial meningitis,1
New research suggests long-lived bats could hold secrets to mammal longevity,1
"Microbes in household dust can break down harmful chemicals, study shows",1
"""Creativity Under Fire: The Effects of Competition on Creative Production"" - Intensifying competition induces agents to produce original, untested ideas over tweaking their earlier work, but heavy competition drives them to stop investing altogether.",1
tRNA Methylation Is a Global Determinant of Bacterial Multi-drug Resistance,1
"Comprehensive sustainability assessment of flying cars, known as electric vertical takeoff and landing aircraft (VTOL), looked at the energy use, greenhouse gas emissions, and time savings of VTOLs compared to ground-based passenger cars and found that they may not be suitable for short trips.",1
"MIT researchers have developed a new polymer membrane that can dramatically improve the efficiency of natural gas purification, while reducing its environmental impact. The membrane was able to withstand unprecedented carbon dioxide feed pressures of up to 51 bar without suffering plasticization",1
Most Osteoporosis Drugs Don’t Build Bone. This One Does.,1
"Dolphin clitoris study suggests marine mammals may experience sexual pleasure,Scientists say the animals have remarkably similar genital anatomy to humans",1
"How education may hold off cognitive decline - researchers found that the medial prefrontal, anterior cingulate, and orbitofrontal cortices - brain regions important for working memory and decision-making - were thicker in individuals who completed 15 years of formal education.",1
"Vitamins and Supplements Can't Replace a Balanced Diet. Nutrients consumed via supplements do not improve health and longevity as effectively as those consumed through foods, according to the study",1
Prejudiced and unaware of it: Evidence for the Dunning-Kruger model in the domains of racism and sexism,1
"Suicidal behavior has nearly doubled among children aged 5 to 18, with suicidal thoughts and attempts leading to more than 1.1 million ER visits in 2015 -- up from about 580,000 in 2007, according to an analysis of U.S. data.",1
Confirmed: New phase of matter is solid and liquid at the same time,1
"PNAS study indicates that in the US, white populations generate the most pollution while non-whites suffer the consequences by inhaling most of the harmful particulates",1
‘I think this medicine actually killed my wife’: patient and family perspectives on shared decision-making to optimize medications and safety,1
Detection of Gluten in Gluten-Free Labeled Restaurant Food: Analysis of Crowd-Sourced Data | American Journal of Gastroenterology,1
"Cold plasma can kill 99.9% of airborne viruses, new study shows. Dangerous airborne viruses are rendered harmless on-the-fly when exposed to energetic, charged fragments of air molecules, and scientists hope to one day harness this capability to replace a century-old device: the surgical mask.",1
Support for democracy increases with age but declines with expected proximity to death.,1
"Traumatic childhood experiences are linked to shorter telomeres on chromosomes, suggesting the possibility that such early life events can have negative long-term health consequences, such as premature aging.",1
PhotoBioModulation as a Viable Treatment for Individuals with Dementia,1
"Experiments make first observation of bosons interacting via fermions. This is in contrast to typical situations where fermions interact via bosons, as in the Standard Model and in superconductivity.",1
Sign this to name the recently photographed black hole after Stephen Hawking,1
This is the World's Tallest Tropical Tree,1
"Data from more than 17,000 teenagers show little evidence of a relationship screen time and well-being in adolescents &amp; cast doubt on the wildly accepted notion that spending time online, gaming,watching TV, especially before bedtime, can damage young people's mental health.",1
Endothelial Function is Attenuated Following Total Sleep Deprivation (24 hours) in Healthy Young Adults | The FASEB Journal,1
"From ruined bridges to dirty air, EPA scientists price out the cost of climate change - unchecked climate change will cost the U.S. hundreds of billions of dollars per year",1
Children who live near major roads are more likely to have developmental delays. Research found that living closer to a major roadway such as an interstate highway or a state highway is associated with almost two times the risk of having a communication delay by the time the baby is 3 years old,1
"Ferrovolcanism: Liquid Iron-Spewing Volcanoes Erupted on Metallic Asteroids, Scientists Say",1
"Medicaid Expansion in West Virginia tripled the number of Medicaid enrollees with opioid use disorder who take buprenorphine, suggesting the ACA is a critical tool for responding to the opioid crisis",1
"4th World Congress on Cell Science, Stem Cell Research and Regenerative Medicine",1
"Researchers have isolated and grown a species of methane-eating soil bacteria for the first time. Methane is the second most important greenhouse gas responsible for climate change, and this discovery could pave the way for future experiments in scrubbing methane from the atmosphere.",1
"Researchers at MIT have used AI to create basil plants that are extra-delicious. The research showed, counter-intuitively, that exposing plants to light 24 hours a day generated the best taste.",1
"Basketball teams with higher narcissism scores for individual players don't perform as well as other teams and team performance doesn't improve over the season, unlike teams with less narcissism,",1
"The risk assessment tools decision makers in the US criminal justice system use to help determine the fate of people accused or convicted of crimes can have problems that reinforce bias, particularly on the basis of socioeconomic status or race.",1
"We may need another term for ""flying taxi."" VTOL aircraft will most likely be used on longer trips, and we probably won't commute in them, as launch and landing use too much energy to make short trips efficient, according to research from the Univ of Michigan and Ford.",1
Researchers at the University of Notre Dame have effectively prevented the binding of peanut allergens with IgE to suppress the allergic reaction to peanuts using a first-in-class design of allergen-specific inhibitors.,1
"Testosterone increased leading up to skydiving and was related to greater cortisol reactivity and higher heart rate, finds a new study. “Testosterone has gotten a bad reputation, but it isn’t about aggression or being a jerk. Testosterone helps to motivate us to achieve goals and rewards.”",1
"A study lead by Penn Medicine researchers found that childhood trauma is linked to abnormal connectivity in the brain in adults with major depressive disorder (MDD). It is the first data-driven study to show symptom-specific, system-level changes in brain network connectivity in MDD.",1
The environmental sustainability of flying cars,1
"Two-thirds of glaciers in the Alps are doomed, scientists find",1
Diet Rich in Animal Protein is Associated With a Greater Risk of Death. Men who favoured animal protein over plant-based protein in their diet had a greater risk of death in a 20-year follow-up than men whose diet was more balanced in terms of their sources of protein.,1
"Antibodies that let old mice think like young ones - Stanford neuroscientists have found a single gene that encodes a protein responsible for age-related cognitive losses, targeted it with antibodies, and shown in mice that these antibodies can rejuvenate old brains to work as well as young ones.",1
Nearest exoplanets could host life,1
"Findings from an archaeological site in Jordan indicate that dogs lived with humans 11,500 years ago",1
"Rat study suggests Allergan’s failed antidepressant rapastinel may work as opioid addiction treatment, providing a safer withdrawal with fewer symptoms.",1
"In a study of 3,601 researchers found that emotional insecurity motivates people to save money. Meanwhile, social people substitute friends for money as a psychological resource.",1
"Study of motorized scooter (Bird, Lime etc.) injuries across U.S. Emergency Departments finds head injuries (&gt;27%) are the most common site of injury for e-Scooter injury patients. 77% increase in injuries for millennials in last year.",1
"After 150 generations of forced monogamous matings, fruit fly sperm no longer induces female postmating responses such as reduced sexual receptivity, immune activation, and elevated feeding",1
Chemical engineers at EPFL have synthesized a biologically-derived metal-organic framework on which the hydrogen bonding that forms the DNA double helix can be mimicked and studied like never before.,1
"Glaciers lost more than 9 trillion tons of ice between 1961 and 2016, according to new research. The loss led to a 27-millimeter increase in global sea levels over this period, researchers found.",1
"Mice that inherit an epigenetic change called a mark develop many different kinds of cancers like much older mice do, suggesting that inherited epigenetic mechanisms can strongly affect cancer risk",1
"Underwater forests a treasure trove of new drugs. Some Actinobacterial extracts were active against common pathogens even at extremely low concentrations, making them promising candidates for the discovery of antimicrobial drugs. Several also showed selective anticancer activity.",1
"Study finds woolly mammoths and Neanderthals shared similar genetic traits, suggesting the similar genes allowed both mammals to thrive in cold environs. Findings offer support for convergent evolution through molecular resemblance, where similar genetic variants between adapted species are present.",1
Global warming is shrinking glaciers faster than thought,1
"Abdominoplasty, with or without concurrent liposuction, in obese patients, is a safe and effective procedure with similar perioperative complication rates as the nonobese patient population.",1
Scientists experimentally confirm that pyroclastic volcanic ash flows (which can move up to 50 miles/hour) derive their speed from reduced friction at their base from an air cushion effect - scientists experimented with heated ash dumped down a real 39 foot slide and numerical simulations,1
"New study found that between 4% and 8% of boys reported having sex before they were 13. That number varied greatly depending on where the boys lived. In San Francisco, just 5% of boys said they had sex before 13, but in Memphis that number jumped to 25%.",1
"Using computer simulations, volcanologists mathematically describe the driving force behind the superheated gas-and-ash clouds from volcanic eruptions, which may help save lives and infrastructure around the globe.",1
"Adequate intake of certain nutrients is associated with a reduction in all-cause mortality when the nutrient source is foods, but not supplements, according to a new study.",1
"The presence of a spouse helps someone calm down faster after a stressful event. Researchers saw the calming effect in real time by using infrared light to measure pupil width, a signal of the body's physiological stress response levels.",1
"To protect the world's pasta, scientists peered inside fettuccine's DNA. Durum wheat's genome will help scientists make the crop hardier.",1
New Target for Cancer Immunotherapy,1
"Sick children appear to be ""substantially"" more likely to be prescribed antibiotics if they receive care via telemedicine than if they see a doctor in person, a new study indicates.",1
Things are heating up as Parker Solar Probe makes second flyby of the Sun,1
A potential new immune-based therapy to treat precancers in the cervix completely eliminated both the lesion and the underlying HPV infection in a third of women enrolled in a clinical trial.,1
"Novel anti-cancer drug Tigilanol Tiglate efficacy study finds 90% complete response observed at the highest drug concentration (1.0 mg/mL) and adverse events were generally low grade, mild and transient, and directly associated with the mode of action of the drug.",1
"Researchers Find a Tiny Stomach Hidden Inside Lung Tumour Cells, in mice.",1
Researchers find a piece of Palaeolithic art featuring birds and humans,1
"A Columbia University study has found that adversity early in life is associated with increased gastrointestinal symptoms in children that may signal future mental health problems, which impact the brain and behavior as they grow to maturity.",1
Remote sensing the coronal magnetic field using solar S-bursts,1
"Varied gene expression in lung tumors can cause them to develop tissues like that of their neighbor, the GI tract. Scientists have found miniature small intestine, duodenum, and stomach structures that can produce digestive enzymes within the tumor samples.",1
"New Black Fly Species of the Simulium ( Gomphostilbia ) duolongum Subgroup (Diptera: Simuliidae) From Vietnam, and Molecular Comparisons With Related Species Using the COI Barcoding Gene | Journal of Medical Entomology",1
"Scientists restored working memory in senior citizens by stimulating their minds using weak electrical currents, according to a new study in Nature Neuroscience. The discovery could help combat age-related memory decline.",1
"When a fighter jet attempts to avoid a heat-seeking missile, it will deploy a series of decoy flares to attempt to distract the missile. New research finds tumor cells often employ a similar strategy to evade the immune system, secreting exosomes that express immune suppressing molecules.",1
"A decline in memory as a result of ageing can be temporarily reversed using a harmless form of electrical brain stimulation, scientists have found. The findings help explain why certain cognitive skills decline significantly with age and raise the prospect of new treatments.",1
"The iconic Darwinian finches from the Galapagos islands are threatened by a deadly fly maggot that attacks baby birds in the nest; hybrid bird species, however, seem able to fight off the parasites.",1
Pesticides and antibiotics polluting many stream: study - as as pesticide maker accepts ‘undeniable demand’ for change,1
Working memory capacity is enhanced by distributed prefrontal activation and invariant temporal dynamics,1
"New study finds glaciers lost more than 9 trillion tons of ice between 1961 and 2016, raising global sea levels by 27 millimeters. The largest contributors were glaciers in Alaska, followed by the melting ice fields in Patagonia, and the glaciers in the Arctic regions.",1
"Distinct cortical–amygdala projections drive reward value encoding and retrieval: Whereas lateral OFC→BLA projections are necessary and sufficient for encoding of the positive value of a reward, medial OFC→BLA projections are necessary and sufficient for retrieving this value from memory",1
"Air temperatures in the Arctic are driving system change. Because the Arctic atmosphere is warming faster than the rest of the world, weather patterns across Europe, North America and Asia are becoming more persistent, leading to extreme weather conditions",1
"A new study by investigators examines the role of a healthy diet and finds that this highly modifiable factor can have a large influence on maintaining physical function, lowering the likelihood of developing physical impairment by approximately 25 percent.",1
"Snowball Earth: Ancient rocks suggest our planet was entirely covered by ice on at least two occasions some 600-700 million years ago, making Earth appear as a glistening white ball with a dark, briny ocean underneath the ice.",1
"People who overclaim their level of knowledge and are impressed by pseudo-profound bullshit are also more likely to believe fake news, according to new research (n=1,606) published in the Journal of Personality.",1
Combining cognitive-behavioral therapy with virtual reality technology could help people suffering from social anxiety disorder.,1
Stillbirth threefold increase when sleeping on back in pregnancy,1
Racial disparities in school-based disciplinary actions are associated with county-level rates of racial bias,1
Scientists reverse memory decline using electrical pulses,1
"Two patients with longstanding schizophrenia experienced complete remission of symptoms with the ketogenic diet, an evidence-based treatment for epilepsy. Both patients were able to stop antipsychotic medications and remained in remission for years now, as reported in journal Schizophrenia Research.",1
"An analysis of transgender teens prescribed spironolactone showed that only 2.2% developed hyperkalemia(potassium levels higher than normal) after initiating therapy, with all cases resolving upon repeat measurement irrespective of spironolactone dose.",1
"A new study reveals that rising rates of liver cancer deaths in the United States have largely been confined to individuals who have received less education, especially among men.",1
If their social group is unstable male Thai chimpanzees reduce aggressive interactions in order to avoid escalation of conflicts and to promote group cohesion. Their urinary cortisol levels (stress hormone) were higher during unstable times whereas aggression rates were higher during stable periods.,1
Research conducted in mice suggests the food additive tert-butylhydroquinone (tBHQ)—found in many common products from frozen meat to crackers and fried foods—suppresses the immune response the body mounts when fighting the flu,1
A recent study found that nearly 18 percent of patients diagnosed with multiple sclerosis before being referred to two major Los Angeles medical centers for treatment actually had been misdiagnosed with the autoimmune disease.,1
A new computer model highlights best site for restoring Eurasian lynx to Scotland,1
"Hospitalization for an infection might leave you at greater risk for mental illness, according to a recent study, which draws on data from youth in Denmark up to the age of 17 years. The authors also found that antibiotic use was associated with even higher risk for mental illness.",1
"Researchers use the so-called “dark triad” to measure the most sinister traits of human personality: narcissism, Machiavellianism, and psychopathy. Now psychologists have created a “light triad” to test for what the team calls Everyday Saints.",1
Gasification of coal and biomass as a net carbon-negative power source for environment-friendly electricity generation in China,1
"‘Featherweight oxygen’ discovery opens window on nuclear symmetry. Researchers have discovered and characterized the lightest-ever form of oxygen, with only three neutrons to its eight protons.",1
Meta-analysis finds increased dietary saturated fat intake does not increase risk for cardiovascular disease,1
"Compared to in-person appointments, a common type of telemedicine may result in more antibiotic prescriptions, new study shows",1
"For the first time, breast tumors are accurately classified by their proteomes. Scientists believe this is a turning point in drug discovery because proteins are drug targets as opposed to mRNA; which is used as a protein-surrogate in existing classification methods.",1
"A new study establishes that environmental damage caused by corn production results in 4,300 premature deaths annually in the United States, representing a monetized cost of $39 billion.",1
Characterization of the total and viable bacterial and fungal communities associated with the International Space Station surfaces,1
"Impact of the last interglacial climate change on ecosystems and Neanderthals behavior at Baume Moula-Guercy, Ardèche, France",1
USask crop scientists help crack the durum wheat genome,1
More CO₂ in the atmosphere today than ever before in 3 million years,1
Systemic clinical tumor regressions and potentiation of PD1 blockade with in situ vaccination,1
A newly discovered derivative of the molecule norbornene can be used to accurately test living cells for a biomarker of oxidative stress — an imbalance in the production of free radicals and antioxidants thought to cause tissue damage seen people with diabetes or Alzheimer's disease.,1
"How hospitals &amp; doctor visits declined - New Age of Vaccines saves more lives in '18-'19 flu season after 80,000 flu-deaths",1
"Middle school students who feel their parents are more involved in their education have fewer mental health struggles — along with fewer suicidal thoughts and behaviors — in response to being bullied, according to a paper published this month in the journal School Psychology.",1
"The Association of Religiosity, Sexual Education, and Parental Factors with Risky Sexual Behaviors Among Adolescents and Young Adults.",1
"Countries that help working class students get into university have happier citizens, finds a new study, which showed that policies such as lowering cost of private education, and increasing intake of universities so that more students can attend act to reduce ‘happiness gap’ between rich and poor.",1
"Poverty leaves a mark on our genes, suggests a new study, which found that lower socioeconomic status is associated with levels of DNA methylation (DNAm) at more than 2,500 sites, across more than 1,500 genes. In other words, poverty leaves a mark on nearly 10 percent of the genes in the genome.",1
"Cancer Exports Molecular ‘Saboteurs’ to Remotely Disarm Immune System: Cancer cells secrete PD-L1–packed exosomes that travel through the lymphatic system or bloodstream to lymph nodes, remotely disarming immune cells and preventing them from attacking tumors.",1
Rain on Sun Links Two Solar Mysteries,1
"Gene mutations that truncate the encoded protein can trigger the expression of related genes. This compensatory response might explain why the KO of a gene sometimes has no discernible impact, whereas knockdown of the same gene causes major defects.",1
"New research in rats shows that heroin addiction activates brain circuits associated with negative emotional learning. The researchers hypothesize that, in humans, such conditioning could create persistent unpleasant emotions that drive an addict to use yet more heroin.",1
"Religious and cultural beliefs may discourage many Latinos in the United States from seeking treatment for depression and other mental health disorders, a Rutgers University-New Brunswick study finds.",1
The decline of local newspapers reduces competition in mayoral elections and is linked to lower voter turnout.,1
"Scientists have come up with a new middle infrared light source that can detect greenhouse and other gases, as well as molecules in a person’s breath. The system resembles a tiny suitcase, contains just two parts: a standard laser together with a photonic chip measuring a few millimeters across.",1
"Evaluation of microbial quality of street food in Karachi City, Pakistan: An epidemiological study",1
Tomb with 500 mummified animals discovered in Egypt,1
"Acute Illness Associated With Cannabis Use, by Route of Exposure: An Observational Study",1
Terracotta Army's Weapons Preservation Mystery Finally Solved,1
"Skyscrapers are killing up to 1bn birds a year in US, scientists estimate",1
A study has shown adults with migraine who had been sexually abused during childhood were three times more likely to have attempted suicide. Childhood physical abuse doubled the odds of suicide attempts and exposure to chronic parental domestic violence had 67% higher odds of attempting suicide,1
"Refined Grains and Health: Genuine Risk, or Guilt by Association?",1
"Autism enhances characteristics such as loyalty and focus which help those with the condition at work and in their relationships with others, experts have found.",1
Unexpected Rain on Sun Links Two Solar Mysteries,1
The NFA had no statistically observable additional impact on suicide or assault mortality attributable to firearms in Australia.,1
A method is developed to control the group velocity of light in both directions and up to 30c,1
Thawing permafrost is triggering thousands of landslides across the Arctic,1
"Studies showing links between personality traits and life outcomes, such as marital stability and vocational achievements, provide a reasonably accurate map of the relationship between personality and various aspects of life, according to findings from a large-scale replication project (n&gt;6,100).",1
"Astronomers discover a chunk of a planet's core around a long-dead star. By finding the vaporized remains of a ancient planet's metallic core, astronomers are getting a glimpse into the future fate of our solar system.",1
"Hungarian researchers claim they've found mineralized biosignatures, including coccoidal, filamentous structures and organic material, in the Martian meteorite ALH-77005",1
The rise of Candida auris embodies a serious and growing public health threat: drug-resistant germs.,1
And the Blobs Just Keep on Coming,1
"In a first, scientists developed an all-in-one immunotherapy approach that not only kicks HIV out of hiding in the immune system, but also kills it, using cells from people with HIV, that could lead to a vaccine that would allow people to stop taking daily medications to keep the virus in check.",1
"Reduced blood capillaries in the back of the eye may be a new, noninvasive way to diagnose early cognitive impairment",1
"Social insecurity also stresses chimpanzees - ""Male chimpanzees reduce aggression when social relationships in their group are unstable""",1
MedDiet and APDQS dietary patterns are associated with better overall cognitive performance in midlife,1
"Data from more than 17,000 teenagers show little evidence of a relationship between screen time and well-being in adolescents. The study casts doubt on the widely accepted notion that spending time online, gaming, or watching TV, especially before bedtime, can damage young people's mental health.",1
Gigantic dusty donut around a black hole imaged for the first time,1
"Cannabis resin sold on the streets of Madrid is contaminated with dangerous levels of faecal matter, a study says. Traces of E.coli bacteria and the Aspergillus fungus were found by analysts who examined 90 samples bought in and around the Spanish capital.",1
"There may be no such thing as a ‘sugar rush’ - Sugar does not improve any aspect of mood and can even worsen it, according to new research using data from 31 studies, which found that sugar increases tiredness and lowers alertness within an hour after its consumption.",1
Cringe worthy politics: Trump sparks 'embarrassment' spikes on Twitter. There has been a 45-percent increase in people tweeting about embarrassment since Donald Trump took office. In an analysis of Twitter traffic between June 2015 and June 2017,1
"Parents in a psychologically or physically aggressive argument tend to also be aggressive with their children, and this ""spillover"" of aggression toward children causes kids to exhibit greater fear during future incidents of interparental aggression, regardless of their severity (n=203).",1
"Young children whose parents read them five books (140-228 words) a day enter kindergarten having heard about 1.4 million more words than kids who were never read to, a new study found. This 'million word gap' could be key in explaining differences in vocabulary and reading development.",1
"First study dedicated to the world-famous concept: sisu can help people exceed preconceived limitations but can be detrimental when used unwisely. According to the study, it denotes an internal, latent force that moves you forward when you think you have reached your limit.",1
"Nano-curcumin disables breast cancer cells, stops cancer cell proliferation, and outperforms anti-cancer drugs in suppressing the expression of cyclinD1, a critical gene in the development and metastasis of breast cancer.",1
"Scientists Discover an Ancient Whale With 4 Legs: This skeleton, dug out from the coastal desert Playa Media Luna, is the first indisputable record of a quadrupedal whale skeleton for the whole Pacific Ocean.",1
"Sorry, graphene—borophene is the new wonder material that’s got everyone excited",1
New study finds that social media might be artificially exaggerating political polarization - “We are not necessarily getting farther and farther apart – it’s just the people in the middle are becoming more quiet and withdrawn.”,1
"Birds that produce faint chirps called flight calls during nighttime migration collide with illuminated buildings much more often than closely related species that don’t produce such calls, according to a new analysis of a 40-year record of thousands of building collisions in the Midwest.",1
"‘Jumping genes’ drive many aggressive forms of cancer. Jumping genes aren’t mutations—mistakes in the letters of the DNA sequence— so traditional cancer genome sequencing can’t identify them. As such, this study opens up new lines of research for future cancer therapies that might target such genes.",1
Table-top LIGO illustrates quantum breakthrough in gravitational wave hunt - Mirrors the size of pinpricks let researchers hear quantum noise at room temperature.,1
New study finds that moderate alcohol intake DOES NOT have protective effects against stroke when compared with no drinking; previous findings of protective effects of alcohol were non-causal and due to reverse causation or confounding.,1
Testing mosquito pee could help track the spread of diseases: West Nile detected from excretions in mosquito traps in Australia,1
Scientists link excess nitrogen degrading Hawaiian coral to a wastewater treatment plant that injects treated sewage water into the ground. Researchers tracked the changing isotopic ratios of nitrogen in the coral and matched the patterns to changes in the wastewater facility's operations schedule.,1
"Research reveals that neanderthals living in Europe between the two ice ages found it difficult to adapt to climate change, starved, and turned to eating human flesh",1
"People who ‘microdose’ psychedelic drugs for a month say it increases positive emotions and productivity, finds a study of more than a thousand volunteers from 59 countries. Increased energy, improved work effectiveness, and improved health habits were observed in clinical/ non-clinical populations.",1
Study seems to indicate that female brains age slower than male brains.,1
Genetic Variants of Receptor Detecting Inflammation and Tissue Damage May Increase Susceptibility for Depression,1
Astronomers Capture Direct Image of Active Galactic Nucleus Torus,1
"Study compared spiral shape of songbird sperm cells of 36 bird species and found that species whose sperm had a particularly distinct spiral or corkscrew shape also had sperm with high average swimming speed. However, those species also tended to have high rates of abnormal or damaged sperm.",1
"Scientists found a collagen protein called COL17A1 that plays a key role in maintaining a youthful appearance. Declining levels of this protein makes skin wrinkle, sag, and lose its elasticity. The find offers insights into why time changes the building blocks of our skin.",1
"In an evaluation of 57 patients — 17 males and 40 females, with a mean age of 60 years — followed at an outpatient clinic from October 2017 until March 2018, the majority of patients with bronchiectasis were deficient in vitamin D.",1
"Routine vaccination of girls aged 12 or 13 years with the human papillomavirus (HPV) vaccine in Scotland has led to a dramatic reduction in cervical disease in later life, finds a new study",1
"Nudges that incorporate dynamic norms, which emphasize the changing norms in order to elicit conformity to this change, can be used to drive sustainable consumption. For example, this type of nudging led café customers to avoid disposable cups, in favor of reusable mugs.",1
Recreational use of psychedelics is associated with elevated personality trait openness.,1
"Researchers found 47 links between our genetic code and the quality, quantity, and timing of how we sleep",1
500000 person study shows one drink a day increases stroke risk,1
"Like old photographs, memories fade in quality over time - researchers expected recollections would become less accurate, but found people also report declines in the vibrancy and visual qualities of their memories.",1
Cats know their names — whether they care is another matter,1
"Falcons attack like missiles, are the fastest animals on earth, and, in contrast to many other animals, the male is smaller, slower and weaker than its female counterpart. Yet detailed simulations of the physics show that the male is better at hunting the most erratically maneuvering prey.",1
"Electricity-conducting bacteria yield secret to tiny batteries, big medical advances",1
The largest genetic study of its kind ever to use accelerometer data to examine how we slumber has uncovered a number of parts of our genetic code that could be responsible for causing poor sleep quality and duration.,1
SCDs in addition to chemical VTE prophylaxis found to have no significant difference compared to chemical PPX alone in prevention of VTE incidence in critically illed patients. Study conducted by Saudi Critical Care Trials Group.,1
"The first organism with chlorophyll genes that doesn't photosynthesize has been discovered. This is actually very dangerous because ""chlorophyll is very good at capturing energy, but without photosynthesis to release the energy slowly it is like living with a bomb in your cells.""",1
"MDMA made older mice start socializing like adolescent mice, finds a new study in Nature. MDMA, the active ingredient of the drug ecstasy, might return older brains to a more malleable state, and provides a potential basis as to why MDMA has helped treat post-traumatic stress disorder.",1
A new Bronze Age shipwreck with ingots in the west of Antalya—preliminary results,1
Scientists have discovered the origin of apparently high and even negative capacitance values seen in perovskite solar cells.,1
The Great Barrier Reef Was Seen as ‘Too Big to Fail.’ A Study Suggests It Isn’t. - the settlement of baby corals on the reef declined 89 percent last year.,1
Coral Symbiosis is a Three-Player Game - Full paper in comments (x-post /r/marinebiology),1
"Scientists discovered why the Chinese ""Terracotta Army"" is so well preserved after 2,000 years. The find debunks a popular idea among fans of ""ancient lost technology"" that Qin smiths intentionally used chromium to preserve the warriors.",1
"A study shows that for the greatest payoff, in terms of efficiently lowering levels of the stress hormone cortisol, you should spend 20 to 30 minutes sitting or walking in a place that provides you with a sense of nature",1
Science discussion series: We are an interdisciplinary group of water science professionals and we’re here to discuss safe drinking water. Ask us anything!,1
Teens don't seem to grow out of problematic cell phone use. Participants who strongly agreed with statements such as “the amount of time I spend using my cell phone keeps me from doing other important work” at the beginning of the study tended to still strongly agree after three years.,1
"Children living near national parks are healthier, more prosperous",1
First planet discovered orbiting white dwarf using the spectroscopic method.,1
"Nematodes are cannibals, but they don't eat their children — a new study shows it's because the parents can sense molecules on other nematodes' skin before they bite, letting them ID their offspring",1
NASA spots ravioli-like moons nestled in Saturns rings,1
"New research defines the relationship that forms between children who are sold for sex and the criminals who traffic them. The discovery should make it easier for law enforcement and healthcare providers to identify child victims, rescue them, and help them reenter society.",1
"Cats can recognise their own names, say scientists.",1
Rusted root: Weedy rice repeatedly evolves ‘cheater’ root traits,1
"Years after unexplained die-off of endangered green turtles in Great Barrier Reef, researchers found evidence of heavy metals – particularly cobalt – in sea turtle populations where they also saw signs of illness, including high white cell counts &amp; barnacle counts (another measure of well-being.)",1
"Waste plastic can replace coal in many industrial processes, yielding more energy per ton and producing 30% less CO2",1
Autism brains show connectivity differences that vary by region | Spectrum,1
Scientists have developed a strategy for editing and repairing microduplications using CRISPR-Cas9 and the microhomology-mediated end joining (MMEJ) DNA repair pathway.,1
Reversing Type 2 Diabetes: A Narrative Review of the Evidence - April 2019,1
"CO2 greenhouse gas amounts in the atmosphere are likely higher today than ever before in the past 3 million years. For the first time, a team of scientists succeeded to do a computer simulation that fits ocean floor sediment data of climate evolution over this period of time",1
"Mid-Pleistocene transition in glacial cycles (41,000 to 100,000) explained by declining CO2 and regolith removal",1
"The food we eat is putting 11 million of us into an early grave each year, an influential study shows. Diet is a bigger killer than smoking and is now involved in one in five deaths around the world. Salt - whether in bread, soy sauce or processed meals - shortened the highest number of lives.",1
"For the first time scientists have found an organism that can produce chlorophyll without engaging in photosynthesis. The peculiar organism is dubbed 'corallicolid', it's found in 70% of corals around the world and may provide clues as to how to protect coral reefs in the future",1
"Last time CO2 levels were this high, there were trees at the South Pole - Using sedimentary records and plant fossils, researchers have found that temperatures near the South Pole were about 20C higher than now in the Pliocene epoch, from 5.3m to 2.6m years ago.",1
"Scientists found a protein called COL17A1 which keeps skin youthful: the protein works by encouraging cell competition, a key process to maintain tissue fitness. That effectively ""drives out"" weaker cells while encouraging replication of stronger ones.",1
"Years of life lost (YLLs) due to premature mortality: conceptual bases and methodology, calculation and illustrative example that quantifies the level and trends of YLL due to premature NCD mortality in the Americas",1
Blue light could treat superbug infections,1
"Almost half of new teachers consider leaving within 10 years, according to new study. Workload and a better work/life balance are the main reasons teachers leave or consider leaving the profession within ten years, based on a new survey of 1,200 teachers.",1
"Brain damage induced by heavy alcohol use persists for six weeks after a person quits drinking. Study on humans and rats shows significant changes in white matter structure between controls and heavy drinkers, even after weeks of abstinence.",1
Nobel prize winners uncover the object-vector cells that enable us to estimate the distance and direction of objects around us.,1
Scientists Say They Can Make Light Travel 30x Faster Than Normal,1
Transgenic rhesus monkeys carrying the human MCPH1 gene copies show human-like neoteny of brain development,1
Immune Biomarker May Predict Kidney Transplant Rejection Prior to Surgery,1
"Deep stimulation improves cognitive control by augmenting brain rhythms - when Deep Brain Stimulation is applied to a specific brain region, it improves patients' cognitive control over their behavior by increasing the power of a specific low-frequency brain rhythm in their prefrontal cortex.",1
MIT researchers hacked agriculture to create what may be the tastiest basil on earth - The Boston Globe,1
"A meteor impact 66 million years ago generated a tsunami-like wave in an inland sea that buried fish, mammals, insects and a dinosaur, the first victims of Earth’s last mass extinction event. The death scene from within an hour of the impact has been excavated at a fossil site in North Dakota.",1
Like cats and dogs: dingoes can keep feral cats in check,1
Van der Waals contacts between three-dimensional metals and two-dimensional semiconductors - Significant increase (decrease) in mobility (resistance),1
